word,sentiment
able,positive
abundance,positive
abundant,positive
acclaimed,positive
accomplish,positive
accomplished,positive
accomplishes,positive
accomplishing,positive
accomplishment,positive
accomplishments,positive
achieve,positive
achieved,positive
achievement,positive
achievements,positive
achieves,positive
achieving,positive
adequately,positive
advancement,positive
advancements,positive
advances,positive
advancing,positive
advantage,positive
advantaged,positive
advantageous,positive
advantageously,positive
advantages,positive
alliance,positive
alliances,positive
assure,positive
assured,positive
assures,positive
assuring,positive
attain,positive
attained,positive
attaining,positive
attainment,positive
attainments,positive
attains,positive
attractive,positive
attractiveness,positive
beautiful,positive
beautifully,positive
beneficial,positive
beneficially,positive
benefit,positive
benefited,positive
benefiting,positive
benefitted,positive
benefitting,positive
best,positive
better,positive
bolstered,positive
bolstering,positive
bolsters,positive
boom,positive
booming,positive
boost,positive
boosted,positive
breakthrough,positive
breakthroughs,positive
brilliant,positive
charitable,positive
collaborate,positive
collaborated,positive
collaborates,positive
collaborating,positive
collaboration,positive
collaborations,positive
collaborative,positive
collaborator,positive
collaborators,positive
compliment,positive
complimentary,positive
complimented,positive
complimenting,positive
compliments,positive
conclusive,positive
conclusively,positive
conducive,positive
confident,positive
constructive,positive
constructively,positive
courteous,positive
creative,positive
creatively,positive
creativeness,positive
creativity,positive
delight,positive
delighted,positive
delightful,positive
delightfully,positive
delighting,positive
delights,positive
dependability,positive
dependable,positive
desirable,positive
desired,positive
despite,positive
destined,positive
diligent,positive
diligently,positive
distinction,positive
distinctions,positive
distinctive,positive
distinctively,positive
distinctiveness,positive
dream,positive
easier,positive
easily,positive
easy,positive
effective,positive
efficiencies,positive
efficiency,positive
efficient,positive
efficiently,positive
empower,positive
empowered,positive
empowering,positive
empowers,positive
enable,positive
enabled,positive
enables,positive
enabling,positive
encouraged,positive
encouragement,positive
encourages,positive
encouraging,positive
enhance,positive
enhanced,positive
enhancement,positive
enhancements,positive
enhances,positive
enhancing,positive
enjoy,positive
enjoyable,positive
enjoyably,positive
enjoyed,positive
enjoying,positive
enjoyment,positive
enjoys,positive
enthusiasm,positive
enthusiastic,positive
enthusiastically,positive
excellence,positive
excellent,positive
excelling,positive
excels,positive
exceptional,positive
exceptionally,positive
excited,positive
excitement,positive
exciting,positive
exclusive,positive
exclusively,positive
exclusiveness,positive
exclusives,positive
exclusivity,positive
exemplary,positive
fantastic,positive
favorable,positive
favorably,positive
favored,positive
favoring,positive
favorite,positive
favorites,positive
friendly,positive
gain,positive
gained,positive
gaining,positive
gains,positive
good,positive
great,positive
greater,positive
greatest,positive
greatly,positive
greatness,positive
happiest,positive
happily,positive
happiness,positive
happy,positive
highest,positive
honor,positive
honorable,positive
honored,positive
honoring,positive
honors,positive
ideal,positive
impress,positive
impressed,positive
impresses,positive
impressing,positive
impressive,positive
impressively,positive
improve,positive
improved,positive
improvement,positive
improvements,positive
improves,positive
improving,positive
incredible,positive
incredibly,positive
influential,positive
informative,positive
ingenuity,positive
innovate,positive
innovated,positive
innovates,positive
innovating,positive
innovation,positive
innovations,positive
innovative,positive
innovativeness,positive
innovator,positive
innovators,positive
insightful,positive
